,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,minable
862,ATRArtrade,ATR,1375022278.0,1.0,126191520000.0,42773500.0,-0.72,-1.0,-17.85,0
863,NFTXNFTX,NFTX,1372718365.0,2263.0,50632845.0,2013890.0,0.06,-0.63,2.45,0
864,DIMEDimecoin,DIME,1368209939.0,0.0,39921708815769.0,,0.24,-1.4,0.23,1
865,LNQLinqAI,LNQ,1365375888.0,10.0,11278954658.0,117422044.0,0.68,6.78,-2.05,0
866,RSCResearchCoin,RSC,1352098654.0,14.0,7946515872.0,650487.0,0.1,-3.21,-10.81,0
867,OPTIOptimus AI,OPTI,1351856286.0,14.0,7931616009.0,8406508.0,0.83,3.43,-1.21,0
868,CATGIRLCatgirl,CATGIRL,1343409216.0,,2.9533811357948314e+18,2139330.0,-0.18,-1.99,-4.18,0
869,DVPNSentinel,DVPN,1338023709.0,0.0,1557603583638.0,27999578.0,1.69,-3.62,-3.69,0
870,RPGRangers Protocol Gas,RPG,1338277678.0,144.0,776690444.0,13432470.0,0.04,-0.87,-3.89,0
871,KAIKardiaChain,KAI,1332699295.0,0.0,398521500000.0,14732109.0,-0.08,-0.72,5.55,0
872,TIMEChrono.tech,TIME,1324055093.0,1864.0,59266031.0,18208385.0,-0.07,-1.94,0.81,0
873,ALPINEAlpine F1 Team Fan Token,ALPINE,1322277979.0,116.0,948105600.0,200430192.0,0.98,-2.36,-0.71,0
874,UNSUNS TOKEN,UNS,1316923185.0,12.0,8813726532.0,12519.0,,-3.5,19.27,0
875,HELLOHELLO Labs,HELLO,1314309135.0,2.0,52623515263.0,70835590.0,-0.09,-0.9,-1.07,0
876,NODLNodle,NODL,1300905876.0,0.0,308887750727.0,129047521.0,-0.35,-1.64,-0.33,0
877,CTXCryptex Finance,CTX,1297760352.0,197.0,549008894.0,21293233.0,1.07,-8.44,-13.07,0
878,VIBViberate,VIB,1297394881.0,6.0,16691582700.0,236052672.0,1.79,-1.83,-1.78,0
879,HEGICHegic,HEGIC,1297457726.0,2.0,58733084548.0,3904760.0,-0.02,-0.71,0.39,0
880,SHIDOShido [New],SHIDO,1296860152.0,0.0,1470822888676.0,34484337.0,0.08,-3.43,-3.78,0
881,ADSAdshares,ADS,1292036498.0,33.0,3234022921.0,26624.0,,-2.06,-2.85,0
882,MOONr/CryptoCurrency Moons,MOON,1291565283.0,12.0,8911551500.0,5082213.0,0.03,-3.49,-9.87,0
883,CREDICredefi,CREDI,1282238211.0,2.0,62475976025.0,50422693.0,-0.81,-3.34,7.98,0
884,AZURAzuro Protocol,AZUR,1287127798.0,8.0,13503873736.0,50520925.0,5.14,19.17,15.57,0
885,TROYTROY,TROY,1283763609.0,0.0,719842500000.0,131516435.0,1.15,-4.12,-4.42,0
886,FEIFei USD,FEI,1279783652.0,79.0,1354224213.0,9467035.0,,0.2,-0.09,0
887,OGOG Fan Token,OG,1265865028.0,262.0,403736415.0,195480930.0,0.92,-1.96,-1.28,0
888,UFOUFO Gaming,UFO,1265412675.0,,2149727272727293.0,33636216.0,-0.13,-2.07,-10.18,0
889,WAGMIGAMESWAGMI Games,WAGMIGAMES,1255202763.0,0.0,150591440440635.0,177483198.0,0.25,-0.35,-2.13,0
890,QRLQuantum Resistant Ledger,QRL,1247972289.0,18.0,5670036208.0,66288105.0,-0.21,-1.43,-9.85,1
891,SMTSwarm Markets,SMT,1244428828.0,38.0,2734954989.0,9746626.0,0.23,-1.49,0.85,0
892,YFIIDFI.Money,YFII,1241286058.0,32161.0,3221222.0,240009928.0,-0.54,-3.6,-3.27,0
893,GETGET Protocol,GET,1237719144.0,108.0,950464013.0,991087.0,-2.15,3.05,1.17,0
894,AIXAIgentX,AIX,1233455590.0,15.0,6853611012.0,38377495.0,-0.19,-4.97,-17.21,0
895,SNSpaceN,SN,1226920672.0,31.0,3339234600.0,786277.0,0.39,-2.07,0.2,0
896,TORNTornado Cash,TORN,1226095336.0,233.0,439195314.0,2519741.0,-1.88,-3.38,-1.27,0
897,WIFIWiFi Map,WIFI,1223939147.0,4.0,24971807791.0,45871702.0,0.13,0.09,3.91,0
898,WALLETAmbire Wallet,WALLET,1220281429.0,2.0,49972041389.0,130509824.0,0.02,-0.41,-4.25,0
899,SLOTHSlothana,SLOTH,1224720416.0,1.0,141474560966.0,639158547.0,-0.25,-4.09,-9.51,0
900,SHPINGSHPING,SHPING,1218019747.0,1.0,190855615585.0,5979074.0,0.09,-0.33,-6.52,0
901,KOKOKoala AI,KOKO,1221363238.0,0.0,760352627574446.0,90521467.0,1.5,9.66,-17.08,0
902,BTMBytomDAO,BTM,1216986596.0,1.0,136917431308.0,19312143.0,0.24,-4.15,-10.75,1
903,NYANNyan Heroes,NYAN,1216591496.0,12.0,8433279881.0,818839497.0,4.65,3.57,-0.59,0
904,WEWeBuy,WE,1213095440.0,3.0,30215127290.0,4963867.0,3.35,0.48,7.09,0
905,5IRE5ire,5IRE,1207296639.0,3.0,37895656226.0,133176037.0,0.93,-15.93,-16.09,0
906,BLOCKBlockasset,BLOCK,1208390967.0,9.0,10831812784.0,61989915.0,-12.03,-11.55,44.32,0
907,SUKUSuku,SUKU,1194587267.0,7.0,14889548348.0,17472685.0,0.18,-1.68,-1.13,0
908,ARGArgentine Football Association Fan Token,ARG,1193120958.0,100.0,996034925.0,95997695.0,-0.46,0.03,-7.4,0
909,JEWELDeFi Kingdoms,JEWEL,1191585711.0,10.0,9533730611.0,2885630.0,0.04,-0.49,4.99,0
910,RBXRabbitX,RBX,1191579619.0,3.0,37799546862.0,61203889.0,1.68,-8.71,-12.32,0
911,BYTEByte,BYTE,1186686776.0,0.0,80494418613990.0,33483150.0,2.08,18.74,2.3,0
912,POLAPolaris Share,POLA,1185098866.0,3.0,38239763392.0,85624619.0,0.41,-2.27,2.65,0
913,COVALCircuits of Value,COVAL,1177431563.0,1.0,148962619875.0,23916298.0,-0.1,-3.39,-16.85,0
914,YOOSHIYooShi,YOOSHI,1170528670.0,,3.100565421211482e+16,4392750.0,-0.04,1.07,-4.31,0
915,SOLAMASolama,SOLAMA,1153842929.0,2.0,54571829539.0,50262116.0,2.06,-11.89,26.95,0
916,SPECTRESPECTRE AI,SPECTRE,1152023168.0,127.0,758985073.0,3831231.0,-0.25,-3.09,13.01,0
917,PSPParaSwap,PSP,1145004098.0,2.0,62175772825.0,12465335.0,1.05,-1.46,-4.2,0
918,SABAISabai Protocol,SABAI,1139350267.0,5.0,19050681922.0,48323757.0,1.48,1.89,3.22,0
919,VINUVita Inu,VINU,1138295083.0,,7.509573506861654e+16,242254001.0,0.1,-0.1,-3.93,0
920,AITAIT Protocol,AIT,1135332753.0,7.0,13507679929.0,64580764.0,0.12,0.81,-5.47,0
921,PORTOFC Porto Fan Token,PORTO,1132103853.0,145.0,650988000.0,266219706.0,0.71,0.68,-0.59,0
922,QTCONQuiztok,QTCON,1127374509.0,0.0,774445938763.0,5726691.0,0.57,1.3,-0.63,0
923,SCLPScallop,SCLP,1124473189.0,17.0,5390093090.0,62080886.0,-0.1,-2.92,-11.32,0
924,BKNBrickken,BKN,1120260962.0,19.0,4997921311.0,11033579.0,-0.04,-2.81,-7.01,0
925,BXNBlackFort Exchange Network,BXN,1120895759.0,0.0,374701154693.0,30505882.0,-0.14,1.78,3.31,0
926,Juventus Fan Token,,,,,,,,,
927,BEFE,,,,,,,,,
928,Abelian,,,,,,,,,
929,BIDR,,,,,,,,,
930,BioPassport Token,,,,,,,,,
931,S.S. Lazio Fan Token,,,,,,,,,
932,Bitcoin Atom,,,,,,,,,
933,Kwenta,,,,,,,,,
934,Dock,,,,,,,,,
935,Diamond Launch,,,,,,,,,
936,Sperax,,,,,,,,,
937,OAX,,,,,,,,,
938,Gaimin,,,,,,,,,
939,Ternoa,,,,,,,,,
940,Kava Lend,,,,,,,,,
941,dForce,,,,,,,,,
942,SCAScallop,SCA,1090533595.0,30.0,3014901946.0,654735437.0,1.56,-6.7,-20.24,0
943,OFNOpenfabric AI,OFN,1088001502.0,18.0,5119140868.0,55550475.0,1.09,-6.31,-10.39,0
944,DMAILDMAIL Network,DMAIL,1073968288.0,26.0,3500480989.0,502696689.0,1.96,-18.34,-33.02,0
945,GYENGYEN,GYEN,1076669470.0,1.0,175164248322.0,493916.0,0.11,-0.48,-1.63,0
946,$MONGMongCoin,$MONG,1073478127.0,,4.850662146534617e+16,142761168.0,1.52,-4.51,28.0,0
947,HTRHathor,HTR,1072193344.0,4.0,21147533466.0,30399220.0,0.06,-0.09,-2.26,1
948,PPCPeercoin,PPC,1071649685.0,37.0,2418530754.0,10393441.0,0.9,5.94,-1.44,1
949,AVTAventus,AVT,1060550006.0,177.0,500760000.0,4743866.0,2.26,-2.39,-0.54,0
950,SWAPTrustSwap,SWAP,1054154049.0,11.0,8345596387.0,64351249.0,0.13,0.26,1.75,0
951,OVROVR,OVR,1051475567.0,21.0,4256015492.0,35202343.0,-0.06,-0.86,2.06,0
952,GRNDSuperWalk,GRND,1037690729.0,10.0,8826607915.0,63704350.0,2.12,7.04,8.13,0
953,QORPOQORPO WORLD,QORPO,1031893514.0,15.0,5617358760.0,45154865.0,-0.03,-0.69,-1.38,0
954,HEROMetahero,HERO,1031372056.0,0.0,425282388983.0,61196294.0,0.2,-0.38,0.23,0
955,PROSProsper,PROS,1023240715.0,31.0,2719675967.0,196500811.0,-0.18,1.1,2.51,0
956,SDNShiden Network,SDN,1016119741.0,16.0,5432862919.0,36108969.0,0.55,4.65,8.28,0
957,STBUStobox Token,STBU,1011473523.0,10.0,8241658225.0,15355638.0,0.91,-8.69,-12.75,0
958,FORForTube,FOR,1008481566.0,1.0,66350700000.0,284954473.0,0.57,-1.02,-1.98,0
959,DCKDexCheck AI,DCK,1006235657.0,3.0,28328175644.0,197379895.0,0.49,2.27,-11.15,0
960,BNCBifrost,BNC,1004087647.0,26.0,3188186939.0,4451756.0,0.34,-0.23,3.82,0
961,MCADEMetacade,MCADE,1004064946.0,1.0,111064708309.0,77906488.0,0.36,2.36,16.15,0
962,HTMHatom,HTM,1004689310.0,60.0,1391065961.0,5323663.0,1.0,0.9,-3.16,0
963,BADBad Idea AI,BAD,1007932733.0,,4.4261752528001304e+16,421031079.0,1.1,-1.48,-1.02,0
964,ARIXArix,ARIX,999499433.0,101.0,827630255.0,23553414.0,-0.04,-0.23,0.46,0
965,TRVLTRVL,TRVL,998988157.0,3.0,26301558945.0,17915440.0,-0.3,-4.99,5.97,0
966,KEXKIRA,KEX,993421793.0,5.0,17156543868.0,22054889.0,0.44,-0.92,25.22,0
967,DMDDiamond,DMD,989579795.0,259.0,318788740.0,4229920.0,0.67,-17.14,-12.28,0
968,POOLXPoolz Finance,POOLX,988627600.0,199.0,415581308.0,60228826.0,0.28,0.11,12.07,0
969,MVPMAGA VP,MVP,987162877.0,24.0,3465261120.0,167462156.0,0.33,4.32,-6.31,0
970,DVFrhino.fi,DVF,986367837.0,41.0,2015320972.0,2460735.0,-0.02,0.23,-1.76,0
971,AKITAAkita Inu,AKITA,981996953.0,,5681250829372495.0,18596557.0,0.12,-3.3,-5.65,0
972,SISSymbiosis,SIS,979478381.0,16.0,5121772946.0,225608822.0,-0.04,0.48,-12.99,0
973,OTKOctokn,OTK,975982158.0,3.0,25299804839.0,24813576.0,-2.25,-4.81,127.81,0
974,FRMFerrum Network,FRM,971229612.0,4.0,22120495707.0,34691067.0,0.38,0.73,-6.27,0
975,CELLCellframe,CELL,968565902.0,34.0,2386886561.0,24218006.0,0.71,-6.61,-10.76,0
976,BCDBitcoin Diamond,BCD,964271885.0,5.0,15564697267.0,2188905.0,0.2,0.06,-3.91,1
977,FULFulcrom Finance,FUL,963276291.0,1.0,145238596200.0,1713851.0,0.64,6.24,7.26,0
978,IDRTRupiah Token,IDRT,962403300.0,0.0,15861566941889.0,37906280.0,-0.25,-0.09,0.32,0
979,FITFIStep App,FITFI,963094933.0,0.0,211153800000.0,355054697.0,2.06,5.47,-12.43,0
980,PSPSBobaCat,PSPS,958503631.0,2.0,48170839635.0,24345365.0,1.08,-8.12,-20.05,0
981,ELIXElixir Games,ELIX,950726912.0,4.0,17778075329.0,27838751.0,0.32,0.56,-5.38,0
982,XEPElectra Protocol,XEP,948519979.0,0.0,1502934360201.0,15550935.0,0.05,7.68,15.48,0
983,NWCNewscrypto,NWC,944561555.0,6.0,12552453606.0,6207504.0,0.5,-1.73,-2.55,0
984,CATECateCoin,CATE,944244490.0,,3680974642320938.0,15921497.0,2.57,-0.45,-2.11,0
985,NAVXNAVI Protocol,NAVX,937993253.0,6.0,13940721487.0,667104543.0,1.67,-0.72,-10.17,0
986,PTSPetals,PTS,936830822.0,0.0,1178870726475.0,7115716.0,0.33,42.31,183.21,0
987,CSIXCarbon browser,CSIX,931503570.0,2.0,33098989775.0,475836257.0,0.54,0.73,-4.98,0
988,DVIDvision Network,DVI,928876166.0,1.0,63796514363.0,56614841.0,-0.21,3.61,5.76,0
989,FNCYFNCY,FNCY,926389141.0,1.0,85652961826.0,773758.0,-0.01,-0.18,4.4,0
990,NVIRNvirWorld,NVIR,921868697.0,1.0,87842645010.0,222842290.0,1.47,3.42,26.43,0
991,MLMintlayer,ML,910917243.0,14.0,5358015991.0,165435914.0,3.84,5.9,14.27,0
992,TKPTOKPIE,TKP,912018498.0,32.0,2396475781.0,44985.0,,-2.7,12.12,0
993,SLNSmart Layer Network,SLN,901810171.0,55.0,1371985920.0,62330014.0,0.03,1.0,-21.45,0
994,NCDTNuco.cloud,NCDT,902606713.0,28.0,2673298747.0,18001237.0,0.36,-2.4,-4.6,0
995,SQUIDGROWSquidGrow,SQUIDGROW,901423501.0,,9.806056293317688e+16,65870388.0,0.25,-2.15,-0.81,0
996,CHKNChickencoin,CHKN,900620950.0,0.0,5361386940000000.0,5241872.0,0.26,-2.17,7.16,0
997,TRCMetaTrace,TRC,900197223.0,3.0,29866126865.0,36846422.0,-0.09,-0.21,-3.44,0
998,DCDogechain,DC,901664867.0,0.0,2459286823910.0,139376114.0,0.31,-2.12,-0.11,0
999,ORNJOrange,ORNJ,897906663.0,12.0,6192732000.0,534243902.0,-0.81,-2.45,-7.01,0
1000,KSPKLAYswap Protocol,KSP,896630977.0,13.0,5559685647.0,1376756.0,2.38,-1.07,-2.91,0
1001,WNZWinnerz,WNZ,896160597.0,4.0,17829181643.0,14195294.0,0.5,3.83,7.85,0
1002,ACMAC Milan Fan Token,ACM,894782505.0,144.0,519023051.0,126424457.0,0.86,-1.68,-0.43,0
1003,ASTXAsterix Labs,ASTX,892416414.0,89241.0,834600.0,20441274.0,0.07,11.02,7.97,0
1004,ROOSTRoost Coin,ROOST,892699177.0,1.0,78214019128.0,20156174.0,-0.29,-14.22,-24.61,0
1005,AEÃternity,AE,889519768.0,2.0,31722746644.0,43050254.0,2.23,-2.01,-12.3,1
1006,BLSBloodLoop,BLS,891486336.0,38.0,1940424218.0,176473499.0,0.73,18.92,84.41,0
1007,ATMAtletico De Madrid Fan Token,ATM,886092149.0,187.0,395647722.0,335560862.0,0.41,0.16,-1.4,0
1008,FARFarcana,FAR,882095584.0,1.0,53844747636.0,355365085.0,0.88,-5.04,-54.54,0
1009,STARLStarlink,STARL,883019569.0,0.0,832861697611949.0,32209467.0,-0.11,-3.22,-0.89,0
1010,CGOComtech Gold,CGO,877492848.0,6224.0,11767860.0,47546745.0,-0.15,-0.34,0.22,0
1011,MKUSDPrisma mkUSD,MKUSD,877541255.0,82.0,897660206.0,51419038.0,0.04,-0.37,-0.29,0
1012,MIXMixMarvel,MIX,876203892.0,0.0,602998526958.0,24158415.0,0.03,-0.65,-1.52,0
1013,IMGNAIImage Generation AI,IMGNAI,871545906.0,1.0,64834509972.0,9074355.0,0.3,-1.37,-1.85,0
1014,PRNTPrime Numbers Labs Ecosystem,PRNT,870147033.0,214.0,338318213.0,21803925.0,-0.12,2.33,16.2,0
1015,CUCrypto Unicorns,CU,868977174.0,21.0,3430200408.0,57363978.0,1.63,5.8,11.41,0
1016,MLTMILC Platform,MLT,866912457.0,7.0,10384382055.0,17896244.0,0.18,0.72,5.41,0
1017,CHOChoise.ai,CHO,866700719.0,3.0,22321121445.0,84165654.0,0.53,-5.0,0.98,0
1018,ZEONZEON,ZEON,865648288.0,0.0,2547958972769.0,3882309.0,-0.03,2.23,5.7,0
1019,TOWERTOWER,TOWER,860606303.0,1.0,135118335750.0,16630490.0,0.16,-0.21,-0.66,0
1020,UBXSUBXS Token,UBXS,859666877.0,15.0,4770162142.0,17372366.0,-0.35,-1.84,-9.09,0
1021,KILTKILT Protocol,KILT,858103922.0,17.0,4124604884.0,5409543.0,0.1,-0.7,-0.08,0
1022,HUSDHUSD,HUSD,848895029.0,4.0,18577683639.0,10266.0,-0.01,-0.08,-2.03,0
1023,EPXEllipsis,EPX,842774239.0,0.0,6159412547714.0,346328704.0,1.07,-0.54,8.97,0
1024,GOALTOPGOAL,GOAL,841708539.0,3.0,23994750000.0,52914141.0,-0.9,-2.81,-10.19,0
1025,EPICEpic Cash,EPIC,836982199.0,48.0,1442157753.0,920313.0,2.48,-3.32,29.91,1
1026,ISLMIslamic Coin,ISLM,836488533.0,4.0,16891929515.0,126947334.0,0.02,5.5,4.52,0
1027,LALATOKEN,LA,836326954.0,2.0,31723601859.0,2035089.0,-0.24,0.11,-1.0,0
1028,FRAFractal Network,FRA,834279013.0,0.0,952318338978.0,33619023.0,-0.8,-4.15,-6.4,0
1029,MNTCMinati Coin,MNTC,777459862.0,124.0,523711500.0,183962615.0,8.96,-6.4,-35.71,0
1030,CULTCult DAO,CULT,832001306.0,0.0,360437928402583.0,30182057.0,0.39,-2.92,-8.08,0
1031,GALGalatasaray Fan Token,GAL,826610541.0,134.0,517959103.0,21636588.0,-0.72,-0.69,-3.17,0
1032,XNANeurai,XNA,830153835.0,0.0,823992490306.0,16609041.0,1.81,-0.12,-5.51,0
1033,AFCArsenal Fan Token,AFC,829700230.0,85.0,812590096.0,13062909.0,-0.6,-4.13,-0.67,0
1034,AMOAMO Coin,AMO,828024854.0,0.0,1594086000000.0,8950334.0,-0.2,0.24,3.98,0
1035,PLANETPLANET,PLANET,825072039.0,0.0,71062019976017.0,270530749.0,-0.62,-4.94,-24.61,0
1036,CREOCreo Engine,CREO,820477400.0,3.0,24228155571.0,151376910.0,-1.62,0.41,16.68,0
1037,BCUTbitsCrunch,BCUT,819985904.0,4.0,16253335742.0,9763568.0,0.15,-1.62,-6.37,0
1038,ZEROZeroLend,ZERO,819378565.0,0.0,2257622972155.0,674675116.0,0.77,-6.31,-9.0,0
1039,FANCfanC,FANC,817734236.0,1.0,62171123352.0,231434079.0,-0.38,6.96,2.78,0
1040,BOOSpookySwap,BOO,815085216.0,87.0,783767018.0,5300044.0,-0.59,-0.13,-14.64,0
1041,CTACross The Ages,CTA,812164617.0,13.0,5355349944.0,461701221.0,0.02,3.24,3.89,0
1042,EXEWindoge98,EXE,811096829.0,93.0,725738866.0,241867.0,3.04,-3.94,-0.47,0
1043,CRUCrust Network,CRU,804607647.0,57.0,1180004969.0,185822605.0,-1.72,-4.19,-1.81,0
1044,MDAOMarsDAO,MDAO,803600035.0,11.0,5892194209.0,10707501.0,-0.23,2.52,8.07,0
1045,ISKISKRA Token,ISK,801939598.0,6.0,11599618077.0,7961583.0,0.08,1.22,-4.16,0
1046,NOWChangeNOW Token,NOW,800107902.0,9.0,7077714298.0,3923.0,0.0,-1.5,1.0,0
1047,DPRDeeper Network,DPR,800621514.0,0.0,217738047951.0,20504369.0,0.44,-1.15,-10.44,0
1048,SPSSplintershards,SPS,799007982.0,1.0,110829886672.0,5478147.0,0.48,-3.38,-8.44,0
1049,ABBCABBC Coin,ABBC,822724560.0,1.0,102247620425.0,26630584.0,0.2,-1.05,-12.11,0
1050,NIZANiza Global,NIZA,791384579.0,0.0,472433672161.0,505983177.0,0.04,0.06,-24.46,0
1051,AZITAzit,AZIT,792822428.0,4.0,16933036236.0,228759186.0,0.6,5.73,6.41,0
1052,LMLeisureMeta,LM,788918252.0,0.0,151857923056.0,53232457.0,0.78,4.29,-0.85,0
1053,BTCXTBitcoin XT,BTCXT,787974320.0,1.0,84031663693.0,,0.0,0.0,-5.16,1
1054,PUSHPush Protocol,PUSH,787337604.0,13.0,5038073332.0,95272845.0,0.1,-2.11,-2.42,0
1055,KARKarura,KAR,780851677.0,7.0,9133653416.0,6153673.0,1.21,-2.09,-7.72,0
1056,SAKAISakai Vault,SAKAI,778259409.0,374.0,173682513.0,261719627.0,0.35,-2.06,12.65,0
1057,KASTAKasta,KASTA,779202090.0,1.0,51264638238.0,45314273.0,0.14,0.4,-7.6,0
1058,SOULPhantasma,SOUL,778757916.0,6.0,10359822865.0,9871315.0,0.02,-0.65,-5.5,0
1059,HEMULEHemule,HEMULE,776512842.0,1.0,81790682154.0,79546811.0,0.25,5.71,15.74,0
1060,HAPIHAPI Protocol,HAPI,773207074.0,1056.0,61112166.0,33162581.0,0.2,0.06,-1.6,0
1061,OPENOpen Custody Protocol,OPEN,771162388.0,1.0,65461930204.0,102317787.0,-0.87,6.92,-6.22,0
1062,SRMSerum,SRM,770419427.0,3.0,21970400075.0,83712466.0,0.45,0.35,0.16,0
1063,vLINKVenus LINK,vLINK,764306483.0,25.0,2579524260.0,,0.91,0.94,2.8,0
1064,SNSSynesis One,SNS,755140989.0,2.0,38078855183.0,79352015.0,-0.33,0.78,-6.2,0
1065,APMapM Coin,APM,752660307.0,1.0,124929187500.0,1006634262.0,0.18,38.37,33.88,0
1066,TADATa-da,TADA,750483003.0,6.0,9789589676.0,12122982.0,0.88,-2.71,72.2,0
1067,WSMWall Street Memes,WSM,749257977.0,0.0,157851113046.0,135929466.0,-0.06,-0.11,-2.6,0
1068,FUSEFuse,FUSE,748694288.0,3.0,18351365658.0,34927259.0,,3.76,-2.5,0
1069,REPAugur,REP,749831514.0,68.0,918060000.0,53037995.0,0.29,-1.03,-3.34,0
1070,EPIKEPIK Prime,EPIK,747649119.0,1.0,92659859981.0,42166162.0,,-4.61,-11.2,0
1071,HNSHandshake,HNS,747116143.0,1.0,52131553282.0,3766466.0,0.02,-4.89,-8.77,0
1072,BUYBuying.com,BUY,743759799.0,2.0,27691153172.0,17995478.0,0.05,1.92,-1.99,0
1073,THREEThree Protocol Token,THREE,742583013.0,9.0,7094100000.0,4277325.0,-0.33,-9.21,-22.94,0
1074,EGGNestree,EGG,741798155.0,0.0,241606724360.0,11575151.0,-0.08,3.94,3.95,0
1075,DACXIDacxi,DACXI,741190400.0,0.0,751140000000.0,744880.0,-0.09,-5.07,4.62,0
1076,RXDRadiant,RXD,738070915.0,0.0,922585321633.0,9055327.0,19.1,20.71,-2.51,0
1077,OBSRObserver,OBSR,737794663.0,0.0,501350969494.0,10308145.0,-0.57,1.36,4.01,1
1078,BDPBig Data Protocol,BDP,734746620.0,14.0,4363193322.0,17229900.0,-0.58,-2.35,6.83,0
1079,ARTYArtyfact,ARTY,733387724.0,39.0,1574700495.0,144141930.0,-1.86,-5.53,-11.14,0
1080,CASTCastello Coin,CAST,731589829.0,3.0,17720937194.0,3375874.0,-4.47,-4.58,-5.04,0
1081,KIMBOKimbo,KIMBO,727215857.0,0.0,5793793200000.0,38700319.0,2.95,1.34,13.63,0
1082,EFIEfinity Token,EFI,725616764.0,8.0,7253937501.0,,0.05,-0.24,0.02,0
1083,CUBESomnium Space Cubes,CUBE,724884819.0,58.0,1043250000.0,1985931.0,0.08,-5.24,-7.01,0
1084,GENEGenopets,GENE,721697482.0,14.0,4232975524.0,2980857.0,1.02,1.75,-19.51,0
1085,IDEverest,ID,717632813.0,6.0,9739782000.0,210486.0,0.07,-2.67,-3.46,0
1086,MEVMEVerse,MEV,716033970.0,0.0,143271194621.0,23674431.0,1.03,3.53,4.05,0
1087,PAJAMASThe First Youtube Cat,PAJAMAS,715975548.0,1.0,81783710657.0,31319617.0,-0.36,-3.2,-10.19,0
1088,LNCLinker Coin,LNC,715171661.0,6.0,9412297479.0,,0.47,-2.05,-5.97,0
1089,TOKETokemak,TOKE,713339213.0,44.0,1361643974.0,10159502.0,0.62,0.54,-1.84,0
1090,RIORealio Network,RIO,712897877.0,108.0,548208262.0,285802427.0,1.86,-2.86,-5.61,0
1091,JOYJoystream,JOY,711664672.0,1.0,77830114061.0,12317444.0,0.29,0.59,-4.73,0
1092,BRICKr/FortNiteBR Bricks,BRICK,710466687.0,6.0,9283274829.0,1002104.0,-0.91,1.36,-18.82,0
1093,BABYBONKBaby Bonk,BABYBONK,709015318.0,,3.2650180304229036e+19,786815728.0,,-4.99,-11.73,0
1094,SOLVESOLVE,SOLVE,705346416.0,1.0,58432433585.0,6867506.0,0.17,-0.63,2.51,0
1095,WIKENProject WITH,WIKEN,704728395.0,1.0,85552035401.0,8311281.0,-2.05,-0.58,-4.5,0
1096,ZYNZynecoin,ZYN,704721217.0,17.0,3497226800.0,67011036.0,0.7,-1.08,-10.49,1
1097,POOHPOOH,POOH,701401846.0,,3.5110787399999996e+16,108040055.0,0.44,-3.14,-10.02,0
1098,VMINTVoluMint,VMINT,699310005.0,1.0,46081294847.0,33264986.0,-1.72,-5.47,-15.13,0
1099,RMRKRMRK,RMRK,695712795.0,77.0,758730604.0,5695227.0,1.13,-4.04,-9.72,0
1100,PAWPAW,PAW,690129655.0,,3.5811434829812964e+16,42392923.0,5.74,21.94,26.83,0
1101,DUREVPovel Durev,DUREV,693401955.0,7.0,7928700000.0,133354808.0,-0.99,-3.47,-17.84,0
1102,SAITOSaito,SAITO,688918734.0,0.0,165191733272.0,3137178.0,3.59,-39.21,-40.52,0
1103,REVVREVV,REVV,685497041.0,1.0,99375380079.0,83918446.0,-0.17,-2.19,-2.37,0
1104,AMUAmulet,AMU,684431090.0,2.0,29551913485.0,219915932.0,-0.38,3.72,-2.89,0
1105,GRGRigoBlock,GRG,683394266.0,253.0,225430718.0,835.0,0.45,-2.07,-11.18,0
1106,LNDXLandX Finance,LNDX,681288403.0,89.0,639022841.0,62698657.0,0.52,-0.87,6.53,0
1107,NAVIAtlas Navi,NAVI,681448897.0,13.0,4339751578.0,9372224.0,0.02,-5.65,-17.31,0
1108,FYNAffyn,FYN,678710324.0,3.0,21201659946.0,38780106.0,0.44,-2.11,-12.62,0
1109,PIPPip,PIP,677401254.0,4.0,13548330792.0,6306655.0,0.06,-1.4,-16.46,0
1110,LANDLandshare,LAND,677326891.0,174.0,324368125.0,49525498.0,0.46,-4.25,-8.55,0
1111,HYDRAHydra,HYDRA,676270287.0,34.0,1665281887.0,17557313.0,0.37,-0.8,-4.86,0
1112,OOKIOoki Protocol,OOKI,675533920.0,0.0,380459638220.0,139698603.0,0.93,0.08,-0.49,0
1113,BOOTBostrom,BOOT,675446287.0,,4.936560564971652e+16,101821.0,0.99,-2.53,-4.06,0
1114,GBYTEObyte,GBYTE,675104351.0,783.0,71946610.0,9431.0,,-0.27,2.88,0
1115,BITCIBitcicoin,BITCI,674320161.0,0.0,643378819266.0,150088538.0,5.08,14.41,31.76,0
1116,PZPPlayZap,PZP,672592122.0,12.0,4776610512.0,57846627.0,-1.13,-3.09,19.28,0
1117,GZONEGameZone,GZONE,670089156.0,1.0,70116188606.0,2551539.0,0.18,-1.79,-5.74,0
1118,MANCMancium,MANC,683699563.0,68.0,834600000.0,14270158.0,0.06,-0.07,0.72,0
1119,TAROTTarot,TAROT,668677180.0,11.0,5246629690.0,7017734.0,0.14,-2.28,2.09,0
1120,INTERInter Milan Fan Token,INTER,671170297.0,131.0,426163035.0,40930119.0,0.97,0.64,-0.23,0
1121,ZKBZKBase,ZKB,665852143.0,3.0,16478342400.0,163018746.0,0.17,1.96,-0.57,0
